designator,quantity,value,pack,mpn,mount_type
C1,1,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C0805C105J3REC7800 ,smt
"C2, C3, C4, C5",4,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,KGM21NR71H104JT,smt
"C6, C7",2,100uF,CP_Elec_D6.3mm_H6.1mm,35TPV100M6.3X6.1,smt
J1,1,CONN HEADER SMD R/A 5POS,PinHeader_1x05_P2.54mm_Horizontal_SMD,TSM-105-02-T-SH-P-TR,smt
J2,1,JST_PH_5POS,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,S5B-PH-SM4-TB ,smt
J4,1,CONN HEADER VERT 3POS ,PinHeader_1x03_P2.54mm_Vertical_THT_D1.4mm,61300311121,tht
"J5, J6",2,CONN PWR JACK 0.7X2.35MM,CUIDevices_PJ1-023-SMT-TR_PWRJack_0.7x2.35mm,PJ1-023-SMT-TR ,smt
"R1, R2, R3, R4",4,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RK73H2ATTD1002F,smt
"R5, R6",2,0.2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,D1WEL0805CR200F-T5,smt
U1,1,ATtiny1614-1,SOIC-14_3.9x8.7mm_P1.27mm,ATTINY1614-SSNR ,smt
"U2, U4",2,50V/3A BRUSHED MOTOR DRIVER,HSOP-8,TB67H451FNGEL ,smt
