designator,quantity,value,pack,mpn,mount_type
"C1, C2",2,10uF,CP_Elec_5x5.4,8.65081E+11,smt
D1,1,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LTST-C171GKT,smt
"D2, D3",2,DIODE SCHOT 100V 1A MINISMA,SOD-123T,CDBM1100-G,tht
J1,1,CONN HEADER SMD R/A 3POS 2MM,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,S3B-PH-SM4-TB,smt
J2,1,CONN HEADER SMD R/A 5POS 2MM,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,S5B-PH-SM4-TB,smt
J3,1,CONN PWR JACK 2X5.5MM,CUIDevices_PJ-002AH-SMT-TR_PWRJack_2x5.5mm,PJ-002AH-SMT-TR,smt
Q1,1,MOSFET N-CH 30V 1.7A SUPERSOT3,SOT-23-3,NDS355AN,smt
Q2,1,MOSFET P-CH 30V 25A DPAK,TO229P990X238-3N,NTD25P03LT4G,smt
R1,1,499,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RK73H2ATTD4990F,smt
"R2, R3, R4",3,10K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,RK73H2ATTD1002F,smt
R5,1,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,CRCW08051K00FKEAHP,smt
SW1,1,SWITCH SLIDE SPDT 5A 120VAC,SW_SPDTx03_Slide,1103A4CQEA,tht
U1,1,IC REG LINEAR 5V 1A DPAK,TO-252-2,NCV1117DT50RKG,smt
