pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
21.3868,17.0434,-90,top,C1,8.65081E+11,CP_Elec_5x5.4,10uF,smt,TRUE
36.3728,15.7988,90,top,C2,8.65081E+11,CP_Elec_5x5.4,10uF,smt,TRUE
23.7998,9.6012,0,top,D1,LTST-C171GKT,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,LED,smt,TRUE
28.3972,21.4376,0,top,D2,CDBM1100-G,SOD-123T,DIODE SCHOT 100V 1A MINISMA,tht,TRUE
37.1602,9.5504,0,top,D3,CDBM1100-G,SOD-123T,DIODE SCHOT 100V 1A MINISMA,tht,TRUE
5.1816,13.9446,-90,top,J1,S3B-PH-SM4-TB,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,CONN HEADER SMD R/A 3POS 2MM,smt,TRUE
36.0636,30.4038,90,top,J2,S5B-PH-SM4-TB,JST_PH_S5B-PH-SM4-TB_1x05-1MP_P2.00mm_Horizontal,CONN HEADER SMD R/A 5POS 2MM,smt,TRUE
16.9164,29.0322,-90,top,J3,PJ-002AH-SMT-TR,CUIDevices_PJ-002AH-SMT-TR_PWRJack_2x5.5mm,CONN PWR JACK 2X5.5MM,smt,TRUE
27.6352,26.9748,-90,top,Q1,NDS355AN,SOT-23-3,MOSFET N-CH 30V 1.7A SUPERSOT3,smt,TRUE
14.4526,13.3858,-90,top,Q2,NTD25P03LT4G,TO229P990X238-3N,MOSFET P-CH 30V 25A DPAK,smt,TRUE
19.6342,10.5156,-90,top,R1,RK73H2ATTD4990F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,499,smt,TRUE
28.9052,34.8996,180,top,R2,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,TRUE
27.3558,31.2928,0,top,R3,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,TRUE
15.621,20.5486,0,top,R4,RK73H2ATTD1002F,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,10K,smt,TRUE
33.8836,6.8326,180,top,R5,CRCW08051K00FKEAHP,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1K,smt,TRUE
4.8768,29.9212,90,top,SW1,1103A4CQEA,SW_SPDTx03_Slide,SWITCH SLIDE SPDT 5A 120VAC,tht,TRUE
29.3116,13.4366,-90,top,U1,NCV1117DT50RKG,TO-252-2,IC REG LINEAR 5V 1A DPAK,smt,TRUE
